NR_OMRAD,vardear 1929,vardear 1930,vardear 1950,vardear 1960,vardear 1970,vardear 1980,vardear 1990,vardear 1995,vardear 1998,vardear 2001,vardear 2004,vardear 2007,vardear 2010,vardear 2013,vardear 2016,vardear 2019
114048,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
114052,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
114054,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
115028,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
115030,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
115032,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
117042,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
117044,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
117046,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
117048,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
117900,890,970,1000,1010,1025,1050,1080,1190,1240,1265,1290,1350,1400,1455,1635,1635
120274,890,970,1000,1010,1025,1050,1080,1190,1240,1265,1290,1350,1400,1455,1635,1635
120276,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
120282,890,970,1000,1010,1025,1050,1080,1190,1240,1265,1290,1350,1400,1455,1635,1635
120284,890,970,1000,1010,1025,1050,1080,1190,1240,1265,1290,1350,1400,1455,1635,1635
120286,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
120900,890,970,1000,1010,1025,1050,1080,1190,1240,1265,1290,1350,1400,1455,1635,1635
123067,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
123068,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
123069,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
123070,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
123071,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
123072,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
123073,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
125100,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
125102,1055,1110,1135,1145,1215,1240,1265,1385,1455,1535,1620,1645,1750,1835,2005,2005
125104,1055,1110,1135,1145,1215,1240,1265,1385,1455,1535,1620,1645,1750,1835,2005,2005
126300,1055,1110,1135,1145,1215,1240,1265,1385,1455,1535,1620,1645,1750,1835,2005,2005
126302,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
126305,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
126306,1055,1110,1135,1145,1215,1240,1265,1385,1455,1535,1620,1645,1750,1835,2005,2005
126307,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
126308,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
127316,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
127318,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
127322,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
127324,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
128314,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
128318,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
136326,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
136328,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
136330,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
136332,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
136334,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
136900,890,970,1000,1010,1025,1050,1080,1190,1240,1265,1290,1350,1400,1455,1635,1635
138308,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
138310,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
138312,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
139034,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
139036,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
139038,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
139040,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
140357,890,970,1000,1010,1025,1050,1080,1190,1240,1265,1290,1350,1400,1455,1635,1635
140358,970,1055,1080,1100,1160,1165,1190,1290,1325,1350,1400,1430,1480,1565,1740,1740
160054,1055,1110,1135,1145,1215,1240,1265,1385,1455,1535,1620,1645,1750,1835,2005,2005
160055,1055,1110,1135,1145,1215,1240,1265,1385,1455,1535,1620,1645,1750,1835,2005,2005
160056,1055,1110,1135,1145,1215,1240,1265,1385,1455,1535,1620,1645,1750,1835,2005,2005
160058,1055,1110,1135,1145,1215,1240,1265,1385,1455,1535,1620,1645,1750,1835,2005,2005
